Country,Spending,Population,Continent
United States,750000000000,338289857,North America
China,237000000000,1425887337,Asia
Saudi Arabia,67600000000,3640882,Asia
India,61000000000,1417173173,Asia
United Kingdom,55100000000,67508936,Europe
Germany,50000000000,83369843,Europe
Japan,49000000000,123951692,Asia
Russia,48000000000,144713314,Europe
South Korea,44000000000,5181581,Asia
France,41500000000,64626628,Europe
Brazil,27800000000,215313498,South America
Italy,27800000000,59037474,Europe
Australia,26300000000,26177413,Oceania
United Arab Emirates,22755000000,9441129,Asia
Canada,22500000000,38454327,North America
Israel,20000000000,9038309,Asia
Iran,19600000000,8855057,Asia
Turkey,19000000000,85341241,Asia
Spain,15100000000,4755863,Europe
Algeria,13000000000,44903225,Africa
Netherlands,12419000000,17564014,Europe
Afghanistan,12000000000,41128771,Asia
Poland,12000000000,39857145,Europe
Pakistan,11400000000,235824862,Asia
Egypt,11200000000,110990103,Africa
Singapore,11200000000,5975689,Asia
Taiwan,10725000000,23893394,Asia
Colombia,10600000000,51874024,South America
Morocco,10000000000,37457971,Africa
Oman,8686000000,4576298,Asia
Indonesia,7600000000,275501339,Asia
Norway,7179000000,5434319,Europe
Thailand,7100000000,7169703,Asia
Mexico,7000000000,127504125,North America
Angola,7000000000,35588987,Africa
Kuwait,6831000000,4268873,Asia
Sweden,6327000000,10549347,Europe
Qatar,6000000000,2695122,Asia
Vietnam,5500000000,98186856,Asia
Ukraine,5400000000,39701739,Europe
Romania,5050000000,19659267,Europe
Switzerland,5000000000,8740472,Europe
Uruguay,4950000000,3422794,South America
Belgium,4921000000,1165593,Europe
Greece,4844000000,10384971,Europe
Denmark,4760000000,5882261,Europe
New Zealand,4300000000,5185288,Oceania
South Africa,4278000000,59893885,Africa
Chile,4250000000,19603733,South America
Argentina,4200000000,45510318,South America
Malaysia,4000000000,33938221,Asia
Kazakhstan,4000000000,19397998,Asia
Bangladesh,3800000000,171186372,Asia
Finland,3570000000,5540745,Europe
Philippines,3470000000,115559009,Asia
Austria,3380000000,8939617,Europe
Portugal,3358000000,10270865,Europe
Libya,3000000000,6812341,Africa
Czech Republic,2969000000,10493986,
Azerbaijan,2805000000,10358074,Europe
Myanmar,2650000000,54179306,
Jordan,2600000000,11285869,Asia
Peru,2560000000,34049588,South America
Sri Lanka,2500000000,21832143,Asia
Ecuador,2500000000,18001,South America
Lebanon,2500000000,5489739,Asia
Sudan,2470000000,46874204,Africa
Nigeria,2155000000,218541212,Africa
Slovakia,2122000000,5643453,Europe
Hungary,2080000000,9967308,Europe
Syria,1800000000,22125249,Asia
Iraq,1730000000,44496122,Asia
North Korea,1600000000,26069416,Asia
Tajikistan,1600000000,9952787,Asia
Bahrain,1415000000,1472233,Asia
Yemen,1400000000,33696614,Asia
Armenia,1385000000,2780469,Europe
Lithuania,1107000000,2750055,Europe
Bulgaria,1079000000,6781953,Europe
Uzbekistan,975000000,34627652,Asia
Uganda,935000000,47249585,Africa
Serbia,907000000,7221365,Europe
Ireland,870000000,5023109,Europe
Croatia,800000000,4030358,Europe
Dominican Republic,760000000,11228821,North America
Venezuela,745000000,28301696,South America
Latvia,724000000,1850651,Europe
Republic of the Congo,715000000,5970424,Africa
Ghana,710000000,3347587,Africa
Estonia,685000000,1326062,Europe
Bolivia,660000000,1222411,South America
Cambodia,604000000,16767842,Asia
Slovenia,581000000,2119844,Europe
Ivory Coast,550000000,28160542,
Tunisia,550000000,12356117,Africa
Namibia,505000000,2567012,Africa
Cuba,500000000,11212191,North America
Panama,500000000,4408581,north America
Botswana,450000000,2630296,Africa
Ethiopia,350000000,123379924,Africa
Cameroon,347000000,27914536,Africa
Georgia,327000000,3744385,Europe
Paraguay,250000000,6780744,South America
Albania,250000000,2842321,Europe
Mozambique,245000000,32969518,Africa
Guatemala,240000000,17843908,North America
Tanzania,223000000,65497748,Africa
Nepal,213000000,3054758,Asia
Honduras,205000000,1043286,North America
Chad,200000000,17723315,Africa
Turkmenistan,200000000,643077,
El Salvador,167000000,6336392,North America
Bosnia and Herzegovina,165000000,3233526,Europe
Mongolia,155000000,3398366,Asia
Nicaragua,140000000,6948392,North America
Burkina Faso,130000000,22673762,Africa
Kenya,121000000,54027487,Africa
Madagascar,115000000,29611714,Africa
North Macedonia,108150000,2093599,Europe
DR Congo,100000000,99010212,Africa
Zimbabwe,100000000,16320537,Africa
Gabon,83000000,2388992,Africa
South Sudan,80000000,10913164,Africa
Sierra Leone,75500000,8605718,Africa
Mali,70000000,2259359,Africa
Montenegro,65000000,627082,Europe
Suriname,63000000,61804,South America
Somalia,62200000,17597511,Africa
Mauritania,50250000,4736139,Africa
Zambia,40000000,20017675,Africa
Moldova,30000000,3272996,Europe
Bhutan,25120000,782455,Asia
Kyrgyzstan,20000000,6630623,Asia
Central African Republic,20000000,5579144,Africa
Laos,18500000,7529475,Asia
Liberia,13000000,5302681,Africa
